case_id,advocate_id,outcome
2033,1062,1
2073,1038,1
2080,1075,1
2046,1017,1
2086,1072,0
2092,1025,1
2010,1005,1
2094,1015,1
2080,1013,0
2002,1037,0
2099,1016,1
2092,1084,1
2051,1098,1
2003,1090,0
2048,1086,1
2044,1006,1
2020,1075,1
2017,1012,1
2096,1069,0
2084,1079,1
2079,1033,1
2068,1034,0
2089,1052,1
2043,1041,1
2097,1087,1
2005,1011,1
2027,1004,0
2006,1054,1
2072,1093,0
2037,1040,0
2004,1092,0
2005,1064,1
2050,1038,0
2084,1019,0
2067,1028,1
2015,1051,0
2053,1034,0
2080,1058,1
2043,1047,0
2079,1068,0
2064,1046,0
2051,1016,1
2089,1098,0
2025,1051,1
2047,1082,1
2078,1072,1
2055,1016,0
2075,1086,0
2089,1054,1
2002,1077,1
2096,1032,0
2098,1073,1
2054,1065,0
2050,1094,0
2013,1048,1
2098,1085,1
2067,1040,0
2023,1024,1
2090,1052,1
2040,1036,1
2022,1097,0
2006,1008,0
2029,1077,1
2074,1028,0
2035,1060,1
2085,1006,1
2097,1005,1
2080,1007,0
2006,1037,1
2014,1002,0
2012,1086,0
2019,1038,1
2050,1050,1
2026,1070,0
2038,1052,0
2031,1075,1
2085,1021,0
2004,1071,0
2013,1046,1
2092,1044,1
2093,1069,0
2021,1051,1
2094,1091,1
2099,1030,1
2032,1073,0
2002,1050,0
2100,1039,1
2059,1052,0
2004,1051,1
2009,1085,0
2017,1070,1
2050,1036,1
2017,1037,1
2087,1053,1
2042,1093,0
2072,1089,0
2077,1093,0
2086,1068,1
2042,1036,0
2098,1080,0
